pitch,age,gender,speaking_rate,speech_monotony,accent,desc0,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9
slightly low-pitch,teenager,female,very fast,monotone,unknown,"A teenage female voice with a slightly low pitch, very fast delivery, and a monotone style.","This is a female teenager speaking in a slightly low register, very quickly and with a monotone tone.",A slightly low-pitched teenage girl’s voice that speaks very fast and stays monotone.,"The voice sounds like a teenage female with a slightly low pitch, rapid speech, and little variation in tone.",A monotone teenage female voice that is slightly low in pitch and talks very fast.,"This profile is a female teenager with a slightly low-pitched voice, fast speaking rate, and monotone delivery.","A slightly low voice from a teenage female, spoken very quickly and without much tonal change.","The speaker sounds like a teenage girl with a slightly low pitch, very fast speech, and a monotone manner.","A teenage female voice that is a bit low in pitch, moves at a very fast pace, and remains monotone.","This is a monotone, very fast-speaking teenage female voice with a slightly low pitch."
slightly low-pitch,teenager,female,very fast,unknown,unknown,A teenage female voice with a slightly low pitch and a very fast speaking rate.,"This is a teenage girl’s voice, slightly low in pitch and spoken very fast.",A very fast-speaking teenage female voice with a slightly low tone.,The speaker sounds like a teenage female with a slightly low pitch and rapid speech.,A teenage girl speaking very quickly with a slightly low-pitched voice.,"This voice is female, teenage, slightly low in pitch, and very fast-paced.",A slightly low-pitched teenage female voice that speaks at a very fast rate.,The speaker has a teenage female voice and talks very fast with a slightly low pitch.,"A very fast, slightly low-pitched voice from a teenage female speaker.","This sounds like a teenage girl with a slightly low pitch and quick, fast speech."
slightly low-pitch,teenager,female,very fast,very monotone,unknown,"A teenage female voice with a slightly low pitch, very fast delivery, and a very monotone tone.","This is a teenage girl’s voice, slightly low in pitch, speaking very quickly and with little variation in tone.",A very monotone teenage female voice that speaks at a very fast pace and sits slightly low in pitch.,"The speaker sounds like a teenage female with a slightly low pitch, rapid speech, and a highly monotone style.","A teenage girl’s voice, slightly low-pitched, very fast, and consistently monotone.","This voice belongs to a teenager and female speaker, with a slightly low pitch, very fast rate, and flat intonation.",A slightly low-pitched teenage female voice that is very fast and notably monotone.,"The speaker sounds teenage and female, with a slightly low pitch, very quick speech, and a monotone delivery.","A very fast, very monotone teenage female voice with a slightly low pitch.","This is a teenage female voice that is slightly low in pitch, speaks very fast, and stays very monotone."
slightly low-pitch,teenager,female,slightly fast,expressive and animated,unknown,"A teenage female voice with a slightly low pitch, speaking a bit fast and sounding expressive and animated.","This is a teenage girl’s voice that sits slightly low, moves at a slightly fast pace, and feels lively and expressive.","A slightly low-pitched teenage female voice that speaks a little quickly with an animated, expressive tone.","The speaker has a teenage female voice, slightly low in pitch, with a slightly fast and lively delivery.","A female teenage voice with a slightly low pitch and a slightly fast speaking rate, full of expression and energy.","This voice sounds like a teenager, female, slightly low in pitch, and speaks a bit fast with an animated style.","A slightly low, teenage female voice that comes across as expressive, animated, and just a touch quick.","The voice is female and teenage, with a slightly low pitch and a slightly fast, lively way of speaking.","A teenage girl’s voice that is slightly low in pitch, speaks a little fast, and feels very expressive.","This is an animated, expressive teenage female voice with a slightly low pitch and a slightly fast pace."
slightly low-pitch,teenager,female,slightly fast,slightly expressive and animated,unknown,"A teenage female voice with a slightly low pitch, a slightly fast pace, and a lightly animated tone.","This is a teenage girl’s voice, slightly low in pitch, speaking a bit fast with some expressive energy.",A slightly low-pitched teenage female voice that speaks a little quickly and sounds mildly animated.,"The voice sounds like a teenage girl with a slightly low pitch, a slightly fast speaking rate, and gentle expressiveness.","A teenage female speaker with a somewhat low pitch, a quickened pace, and a slightly lively delivery.","This voice is slightly low in pitch, teenage and female, with a slightly fast, animated style.","A young female voice with a slightly low pitch, speaking a bit fast and sounding lightly expressive.","The speaker sounds like a teenage girl with a slightly low voice, a slightly quick rate, and some animation.",A slightly low-pitched female teenage voice that comes across as a little fast and mildly expressive.,"This is a teenage female voice with a slightly low pitch, brisk speech, and a touch of animation."
slightly low-pitch,teenager,female,slightly fast,monotone,unknown,"A teenage female voice with a slightly low pitch, slightly fast delivery, and a monotone tone.","This is a teenage girl’s voice, slightly low in pitch, a bit fast, and fairly monotone.","A female teenager speaking with a slightly low pitch and slightly fast, monotone delivery.","The voice sounds like a teenage female, with a slightly low pitch and a steady monotone pace that runs a bit fast.","A teen girl’s voice that is slightly low-pitched, slightly fast, and notably monotone.","This profile fits a teenage female voice with a slightly low pitch and a slightly fast, flat delivery.",A monotone teenage female voice with a slightly low pitch and a mildly fast speaking rate.,"The speaker sounds like a teenage girl, using a slightly low pitch and a slightly fast, monotone style.","A female teen voice that is a little low in pitch, speaks slightly fast, and stays monotone.","This is a slightly low-pitched teenage female voice with a slightly fast, monotone way of speaking."
slightly low-pitch,teenager,female,slightly fast,unknown,unknown,A teenage female voice with a slightly low pitch and a slightly fast speaking rate.,"This is a teenage girl's voice, a touch low in pitch and spoken slightly fast.",A young female teen voice that sounds slightly low-pitched and a bit quick.,The speaker sounds like a teenage female with a mildly low pitch and slightly fast delivery.,A teenage girl speaking in a slightly low register and at a slightly fast pace.,"This voice is female and teenage, with slightly low pitch and a somewhat fast rate.",A slightly low-pitched teenage female voice that speaks just a bit fast.,A teen girl's voice with a slight low-end pitch and a mildly fast speaking speed.,"The profile sounds like a female teenager, slightly low in pitch and slightly fast in cadence.",A teenage female voice that is a little low-pitched and speaks at a slightly fast pace.
slightly low-pitch,teenager,female,slightly fast,very monotone,unknown,"A teenage female voice with a slightly low pitch, speaking a bit fast and sounding very monotone.","This is a teenage girl's voice, slightly low in pitch, with a slightly fast and very monotone delivery.",A very monotone teenage female voice that sits slightly low in pitch and speaks a little fast.,"The speaker sounds like a teenage girl with a slightly low-pitched voice, a slightly fast rate, and very little variation in tone.","A female teenager with a slightly low pitch, speaking slightly fast in a very monotone way.","This voice sounds teenage and female, with a slightly low pitch, a slightly fast pace, and a very monotone style.",A slightly low-pitched teenage female voice that comes across as very monotone and somewhat fast.,"The voice belongs to a teenager and sounds female, with a slightly low pitch and a slightly fast, very monotone delivery.","A teenage girl's voice with a slightly low pitch, talking slightly fast and keeping a very monotone tone.","This is a female teenage voice, slightly low in pitch, slightly fast in rate, and extremely monotone."
slightly low-pitch,teenager,female,slightly fast,very expressive and animated,unknown,"A teenage female voice with a slightly low pitch, a slightly fast pace, and a very expressive, animated delivery.","This is a teenage girl's voice, slightly low in pitch, speaking a bit fast with lively, animated expression.","A female teen voice that sounds slightly low-pitched, moves at a slightly fast rate, and comes across as very animated.","The speaker has a teenage female voice with a mildly low pitch, a slightly quick speaking speed, and highly expressive delivery.","A slightly low-pitched teenage girl’s voice, spoken a little fast and full of animated expression.","This voice sounds like a teenage female with a slightly low pitch, a somewhat fast pace, and a very lively style.","A female teenager’s voice that is slightly low in pitch, slightly fast in pace, and strongly expressive.","The speaker has a teen girl voice, mildly low-pitched, with a slightly fast rhythm and an animated, expressive tone.","A teenage female voice with a bit of low pitch, a slightly quick pace, and a very lively, expressive manner.","This sounds like a teenage girl's slightly low-pitched voice, delivered a little fast and with lots of animated expression."
slightly low-pitch,teenager,female,moderate speed,expressive and animated,unknown,"A teenage female voice with a slightly low pitch, moderate speaking speed, and an expressive, animated tone.","She sounds like a teenage girl with a slightly low pitch, speaking at a moderate pace and full of animation.","This voice is a teenage female voice, slightly low in pitch, with moderate speed and lively expression.",A slightly low-pitched teenage female voice that speaks at a moderate rate and sounds expressive.,"The speaker sounds like a teenage girl with a slightly low pitch, moderate speech speed, and an animated style.","A teenage female voice with a subtly low pitch, moving at a moderate pace and sounding very expressive.","She has a teenage female voice, slightly low in pitch, with moderate-speed speech and an animated delivery.","A slightly low-pitched voice from a teenage female speaker, spoken at a moderate pace and with lively expression.","This is a teenage girl’s voice with a slightly low pitch, moderate speaking rate, and an expressive, animated feel.","A female teenage voice that is slightly low in pitch, speaks at a moderate speed, and sounds animated."
slightly low-pitch,teenager,female,moderate speed,slightly expressive and animated,unknown,"A teenage female voice with a slightly low pitch, moderate pace, and a lightly animated delivery.","This speaker sounds like a teenage girl with a slightly low voice, speaking at a moderate speed with mild expressiveness.",A slightly low-pitched teenage female voice that comes across as moderately paced and a bit expressive.,"The voice is feminine and teenage, with a slightly low pitch, moderate speaking rate, and some animation.","A teenage girl’s voice, slightly low in pitch, delivered at a moderate speed with a subtly lively tone.","This is a teenage female voice that sounds a little low-pitched, speaks at a moderate pace, and feels slightly expressive.",A moderately paced teenage girl voice with a slightly low pitch and a touch of animation.,"The speaker sounds like a teenage female with a slightly low voice, moderate speed, and a lightly animated style.","A voice that is teenage and female, with a slightly low pitch and a moderate, mildly expressive delivery.","A slightly low-pitched teenage female voice, spoken at a moderate rate with a bit of liveliness."
